Ticker,Training Data Size,Test Data Size,Accuracy,train_true,train_false,coef,intercept
ADRO.JK,967,241,0.5062240663900415,412,555,[-0.12059713 -0.02691148  0.01240861  0.08223351 -0.06098728 -0.15700381],-0.29872154633391923
AGAR.JK,646,161,0.6211180124223602,183,463,[-0.27411771 -0.01999058  0.01589574  0.06318769  0.02018366 -2.07335799],-0.9167074478674705
AGII.JK,967,241,0.5643153526970954,375,592,[ 0.17702432  0.00336206 -0.00389232 -0.00404194 -0.03773058 -0.64414652],-0.4489917719231219
AGRO.JK,967,241,0.6265560165975104,367,600,"[-1.40247606e-07 -4.02029017e-05  1.08351682e-04 -1.45541517e-05
  2.58754025e-05  2.24502896e-06]",-0.00024690100865993697
AGRS.JK,967,241,0.6846473029045643,330,637,[-0.14058265 -0.05765449  0.12678043  0.02892698 -0.00507904 -1.14312876],-0.6560606772893952
AHAP.JK,966,241,0.6929460580912863,284,682,"[-1.06000897e-01 -1.14692029e-02 -1.30111163e-02  3.98736012e-02
  7.74856579e-04 -1.76054382e+00]",-0.8774745598922891
AIMS.JK,623,155,0.6387096774193548,194,429,[0. 0. 0. 0. 0. 0.],0.0
AISA.JK,548,136,0.6102941176470589,189,359,[ 0.21447522  0.00720201  0.07002858  0.00814217 -0.02515588 -0.79012622],-0.6435740838714987
AKKU.JK,61,15,1.0,4,57,[-0.00616645  0.00117497  0.06636364  0.03530282  0.1146544  -0.158653  ],-2.6245337475686132
AKPI.JK,964,240,0.65,256,708,[-0.19651818 -0.00230336  0.02288922 -0.00844418  0.00594275 -0.38408373],-1.0159427051044367
AKRA.JK,968,241,0.5518672199170125,408,560,[ 0.00287625 -0.01076862 -0.05641843  0.04534843 -0.03261201  0.34101176],-0.3293153242779028
AKSI.JK,967,241,0.7012448132780082,319,648,[ 0.01283254 -0.02315085 -0.00741498 -0.2044262   0.0113174   0.43592102],-0.7192922748207903
ALDO.JK,933,233,0.648068669527897,281,652,"[ 2.17950108e-03 -1.42411121e-05 -2.34056325e-02  1.68347844e-02
 -1.19758261e-02 -7.01363306e-01]",-0.858318326382027
ALKA.JK,967,241,0.6514522821576764,298,669,"[-4.81158232e-01 -4.96164293e-03 -8.98722211e-04 -2.97673710e-03
 -7.93106812e-03 -9.66108247e-01]",-0.808221846271844
ALMI.JK,967,241,0.6016597510373444,325,642,[-0.29685624 -0.03581338 -0.00275272  0.12440271  0.0145255  -2.03321199],-0.6927727663293134
ALTO.JK,908,226,0.7920353982300885,180,728,"[-2.59204125e-01 -3.04493731e-02  1.94894610e-03  2.11365362e-02
  3.19377395e-04 -1.80990585e+00]",-1.4042733312831037
AMAG.JK,963,240,0.6291666666666667,256,707,[-0.19030073  0.02836969 -0.00767219  0.02013856 -0.00506647 -0.43850219],-1.0180486234280366
AMAN.JK,590,147,0.782312925170068,167,423,[ 0.2587198   0.00497693  0.00635296 -0.04813043 -0.00217841  0.26606503],-0.9342115682673262
AMAR.JK,627,156,0.5576923076923077,229,398,[-0.19893314  0.07330598 -0.02336547  0.13233228 -0.00658848 -0.32742585],-0.5532570999123855
AMFG.JK,960,240,0.5875,256,704,[ 0.148291   -0.02984852  0.01161568 -0.00415917  0.00663873 -0.17737494],-1.0119105015242227
AMIN.JK,964,241,0.6639004149377593,265,699,[-0.37450659 -0.02589447 -0.01074319 -0.05176214 -0.00627157 -0.91462386],-0.9750177129824054
AMMS.JK,128,31,0.6774193548387096,31,97,[-0.04030074 -0.21920763 -0.04373309 -0.70217374  0.12926328  0.98324884],-1.2684468784923275
AMOR.JK,445,111,0.6396396396396397,171,274,[-0.05038603  0.01821104  0.00514265 -0.0144107   0.05144526  0.03308296],-0.47559930490884156
AMRT.JK,967,241,0.5020746887966805,346,621,[-0.0104684  -0.07547418  0.00178059  0.03573392  0.00503286 -1.23999848],-0.5798233916380872
ANDI.JK,373,93,0.8924731182795699,96,277,[ 0.08705215 -0.00517359  0.13476461  0.01222769  0.08699676  0.09660447],-1.0532393328586418
ANJT.JK,967,241,0.6390041493775933,276,691,"[-1.24977190e-05  3.01705698e-02  5.76907932e-05  2.52785065e-02
  2.14062658e-02  1.02318592e-01]",-0.9216616399040887
ANTM.JK,967,241,0.6058091286307054,407,560,"[-9.00174280e-04 -1.07352326e-04  2.55909397e-01 -1.39824221e-02
  5.81523171e-02 -1.13344669e-01]",-0.30776704594437393
APEX.JK,907,226,0.6858407079646017,268,639,[-0.40916302 -0.01174274 -0.00267689  0.09772447  0.00213139 -0.32350774],-0.876725999663265
APIC.JK,923,230,0.5956521739130435,338,585,[-0.00223408  0.03252141 -0.01151343  0.00910358 -0.06205378 -0.21419076],-0.5536142130243357
APII.JK,967,241,0.6390041493775933,302,665,"[-3.53495694e-01  7.02591552e-03 -1.16801721e-02 -6.18071038e-02
 -6.20778536e-04 -1.93173780e+00]",-0.7904095364675069
